condition,target_name,internal_target_id,mass_index,mass_isotopologue,mean_fraction,median_fraction,minimum_fraction,maximum_fraction,standard_deviation,state_count
condition1,Pyruvate,pyruvate,1,M+1,0.0015393579016715067,0.0013974952485537435,0.00023225477498842303,0.0029390616691678628,0.00058618723808380381,100
condition1,Pyruvate,pyruvate,2,M+2,0.0020035989759515055,0.0017933079561839283,0.00027321333552825884,0.0042164986115699327,0.00088792943660404131,100
condition1,Pyruvate,pyruvate,3,M+3,0.69815114804880851,0.69832738401072381,0.69621800699300218,0.69974043951798504,0.00078628362181442832,100
condition1,Alanine,alanine,0,M+0,0.29830589507356853,0.2984553589519181,0.29664506176486638,0.2997540923714983,0.00068554664210518856,100
condition1,Alanine,alanine,1,M+1,0.0015393579016715067,0.0013974952485537435,0.00023225477498842303,0.0029390616691678628,0.00058618723808380381,100
condition1,Alanine,alanine,2,M+2,0.0020035989759515055,0.0017933079561839283,0.00027321333552825884,0.0042164986115699327,0.00088792943660404131,100
condition1,Alanine,alanine,3,M+3,0.69815114804880851,0.69832738401072381,0.69621800699300218,0.69974043951798504,0.00078628362181442832,100
condition1,Lactate,lactate,0,M+0,0.29830589507356853,0.2984553589519181,0.29664506176486638,0.2997540923714983,0.00068554664210518856,100
condition1,Lactate,lactate,1,M+1,0.0015393579016715067,0.0013974952485537435,0.00023225477498842303,0.0029390616691678628,0.00058618723808380381,100
condition1,Lactate,lactate,2,M+2,0.0020035989759515055,0.0017933079561839283,0.00027321333552825884,0.0042164986115699327,0.00088792943660404131,100
condition1,Lactate,lactate,3,M+3,0.69815114804880851,0.69832738401072381,0.69621800699300218,0.69974043951798504,0.00078628362181442832,100
condition1,Citrate,citrate,0,M+0,0.026573989409035818,0.026603559852717212,0.026003473329488196,0.026850797304719985,0.00016064829401705904,100
condition1,Citrate,citrate,1,M+1,0.060375675998845343,0.06048040746562805,0.05728756244254448,0.061714633540291219,0.0008022991066256016,100
condition1,Citrate,citrate,2,M+2,0.068150722054887869,0.06799546556949046,0.065647304354079367,0.07364055214925086,0.0014345012273467613,100
condition1,Citrate,citrate,3,M+3,0.20158363902039167,0.20182710521961056,0.19247142073896562,0.20578357618109913,0.0024147365470399357,100
condition1,Citrate,citrate,4,M+4,0.15864753276180962,0.15811310632027126,0.15242522007111139,0.17245563976092004,0.0037061933881359444,100
condition1,Citrate,citrate,5,M+5,0.14402881274721288,0.14419928591789638,0.13949726442901159,0.14753531332487052,0.0017899198620644865,100
condition1,Citrate,citrate,6,M+6,0.34063962800781689,0.34080292229372289,0.33748775410422338,0.34218319592782642,0.00089648083956703965,100
condition1,aKG,akg,0,M+0,0.026776227856717471,0.02678704349224495,0.026539957698866069,0.026939592952423267,7.154433842934449e-05,100
condition1,aKG,akg,1,M+1,0.062924492864382842,0.06292825468484553,0.062842753902587978,0.062979802685983688,2.4407974075998825e-05,100
condition1,aKG,akg,2,M+2,0.12629744643652041,0.12628318219777063,0.12608048109861159,0.12660949107114455,9.4833458961570197e-05,100
condition1,aKG,akg,3,M+3,0.29330697656055205,0.29334008577472331,0.29258218601588581,0.29381227924934022,0.00022065726267747417,100
condition1,aKG,akg,4,M+4,0.14891459682821609,0.14882204565663415,0.14751682269943317,0.15093635065011268,0.00061216369247477683,100
condition1,aKG,akg,5,M+5,0.34178025945361123,0.34183938819378112,0.34048926066140295,0.34267102131420774,0.00039038910068582057,100
condition1,Succinate,succinate,0,M+0,0.087042842373308241,0.087153866110104783,0.084283056009710408,0.088260159303072253,0.00069084690451115538,100
condition1,Succinate,succinate,1,M+1,0.0058889108439445833,0.0056702041566088629,0.0034658147640973993,0.01135163166841471,0.0013742637660456027,100
condition1,Succinate,succinate,2,M+2,0.41017668045694605,0.41054045298509945,0.4010531951152535,0.41421901984991938,0.0022929080737061716,100
