condition,state_id,target_name,internal_target_id,direct_or_reporter,carbon_count,mass_index,mass_isotopologue,fraction
condition0,theta0_sample_003,Succinate,succinate,direct,4,3,M+3,0.19127787654218789
condition0,theta0_sample_003,Succinate,succinate,direct,4,4,M+4,0.39313937548607186
condition0,theta0_sample_003,Fumarate,fumarate,direct,4,0,M+0,0.049186410204221556
condition0,theta0_sample_003,Fumarate,fumarate,direct,4,1,M+1,0.0791838071058895
condition0,theta0_sample_003,Fumarate,fumarate,direct,4,2,M+2,0.28721253066162789
condition0,theta0_sample_003,Fumarate,fumarate,direct,4,3,M+3,0.19127787654218789
condition0,theta0_sample_003,Fumarate,fumarate,direct,4,4,M+4,0.39313937548607192
condition0,theta0_sample_003,Malate,malate,direct,4,0,M+0,0.049706161330527222
condition0,theta0_sample_003,Malate,malate,direct,4,1,M+1,0.07817771477015073
condition0,theta0_sample_003,Malate,malate,direct,4,2,M+2,0.28890048786015005
condition0,theta0_sample_003,Malate,malate,direct,4,3,M+3,0.18884123464713723
condition0,theta0_sample_003,Malate,malate,direct,4,4,M+4,0.3943744013920335
condition0,theta0_sample_003,Glutamine,glutamine,direct,5,0,M+0,0.02243494374059064
condition0,theta0_sample_003,Glutamine,glutamine,direct,5,1,M+1,0.061238914929928952
condition0,theta0_sample_003,Glutamine,glutamine,direct,5,2,M+2,0.13184734202894444
condition0,theta0_sample_003,Glutamine,glutamine,direct,5,3,M+3,0.28062220154387102
condition0,theta0_sample_003,Glutamine,glutamine,direct,5,4,M+4,0.18608319240275381
condition0,theta0_sample_003,Glutamine,glutamine,direct,5,5,M+5,0.31777340535390991
condition0,theta0_sample_003,Aspartate,aspartate,reporter,4,0,M+0,0.058803670491689657
condition0,theta0_sample_003,Aspartate,aspartate,reporter,4,1,M+1,0.11674364092968038
condition0,theta0_sample_003,Aspartate,aspartate,reporter,4,2,M+2,0.20619767341865955
condition0,theta0_sample_003,Aspartate,aspartate,reporter,4,3,M+3,0.20215904840687973
condition0,theta0_sample_003,Aspartate,aspartate,reporter,4,4,M+4,0.41609596675308957
condition0,theta0_sample_003,Glycine,glycine,reporter,2,0,M+0,0.25654379708896813
condition0,theta0_sample_003,Glycine,glycine,reporter,2,1,M+1,0.086912405822063526
condition0,theta0_sample_003,Glycine,glycine,reporter,2,2,M+2,0.65654379708896804
condition0,theta0_sample_003,Serine,serine,reporter,3,0,M+0,0.25654379708896813
